# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: WAVE_GLO_PHY_SWH_L3_NRT_014_001
# Dataset: cmems_obs-wave_glo_phy-swh_nrt_s3a-l3_PT1S
# Variable: Sea surface wave significant height (VAVH) m

parameter,platformId,platformType,time,longitude,latitude,depth,pressure,value,valueQc
VAVH,Sentinel-3A,SAT,2024-01-01T20:19:49.000Z,7.623606,63.305058,0,,0.9850001,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:19:50.000Z,7.575488,63.360985,0,,1.003,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:19:51.000Z,7.5272,63.4169,0,,1.0840001,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:19:52.000Z,7.478739,63.472797,0,,1.1980001,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:19:53.000Z,7.430105,63.528687,0,,1.307,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:19:55.000Z,7.332314,63.64041,0,,1.4410001,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:19:56.000Z,7.283155,63.696255,0,,1.5780001,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:19:57.000Z,7.233818,63.752083,0,,1.7120001,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:19:58.000Z,7.184303,63.807896,0,,1.8270001,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:19:59.000Z,7.134608,63.863693,0,,1.9160001,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:00.000Z,7.084733,63.91948,0,,1.983,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:01.000Z,7.034675,63.975246,0,,2.0340002,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:02.000Z,6.984435,64.031,0,,2.0800002,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:03.000Z,6.934011,64.08674,0,,2.1260002,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:04.000Z,6.883402,64.14246,0,,2.181,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:05.000Z,6.832606,64.19817,0,,2.2480001,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:06.000Z,6.781623,64.25387,0,,2.3370001,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:07.000Z,6.730451,64.30954,0,,2.44,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:08.000Z,6.679089,64.365204,0,,2.555,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:09.000Z,6.627536,64.42085,0,,2.676,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:10.000Z,6.575791,64.47648,0,,2.798,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:11.000Z,6.523852,64.5321,0,,2.917,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:12.000Z,6.471719,64.58769,0,,3.035,1
VAVH,Sentinel-3A,SAT,2024-01-01T20:20:13.000Z,6.41939,64.64327,0,,3.154,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:44.000Z,-4.644234,53.471294,0,,1.7450001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:45.000Z,-4.673466,53.5288,0,,1.7680001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:46.000Z,-4.702767,53.5863,0,,1.7860001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:47.000Z,-4.732136,53.643787,0,,1.7670001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:48.000Z,-4.761573,53.701275,0,,1.7060001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:49.000Z,-4.791079,53.758755,0,,1.6400001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:50.000Z,-4.820654,53.81623,0,,1.59,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:51.000Z,-4.850299,53.873695,0,,1.5480001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:52.000Z,-4.880014,53.93116,0,,1.503,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:53.000Z,-4.909799,53.988613,0,,1.4490001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:54.000Z,-4.939654,54.046062,0,,1.388,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:55.000Z,-4.96958,54.103508,0,,1.3310001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:56.000Z,-4.999578,54.160946,0,,1.279,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:57.000Z,-5.029647,54.218376,0,,1.2240001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:58.000Z,-5.059788,54.275803,0,,1.166,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:31:59.000Z,-5.090001,54.33322,0,,1.1110001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:32:00.000Z,-5.120286,54.390636,0,,1.0630001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:32:01.000Z,-5.150645,54.448044,0,,1.0250001,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:32:02.000Z,-5.181077,54.505444,0,,1,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:32:03.000Z,-5.211582,54.562836,0,,0.97900003,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:32:04.000Z,-5.242162,54.620224,0,,0.96000004,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:32:05.000Z,-5.272815,54.677605,0,,0.94400007,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:32:06.000Z,-5.303544,54.73498,0,,0.943,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:32:07.000Z,-5.334347,54.79235,0,,0.97,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:32:08.000Z,-5.365226,54.849712,0,,1.023,1
VAVH,Sentinel-3A,SAT,2024-01-02T21:32:09.000Z,-5.396181,54.907066,0,,1.0430001,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:23.000Z,-0.453694,64.658424,0,,3.0500002,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:24.000Z,-0.506085,64.602844,0,,3.055,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:25.000Z,-0.55828,64.54725,0,,3.0700002,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:26.000Z,-0.61028,64.49164,0,,3.091,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:27.000Z,-0.662085,64.43601,0,,3.1220002,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:28.000Z,-0.713699,64.38037,0,,3.1610003,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:29.000Z,-0.765121,64.32471,0,,3.183,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:30.000Z,-0.816352,64.269035,0,,3.1880002,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:31.000Z,-0.867395,64.21335,0,,3.1790001,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:32.000Z,-0.91825,64.15764,0,,3.1660001,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:33.000Z,-0.968918,64.10192,0,,3.153,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:34.000Z,-1.0194,64.04618,0,,3.1490002,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:35.000Z,-1.069698,63.990433,0,,3.1480002,1
VAVH,Sentinel-3A,SAT,2024-01-03T11:16:36.000Z,-1.119813,63.934666,0,,3.1490002,1
